layer,layer_name,pairs,slope,intercept,pearson_r,curv_n,curv_mean_deg,curv_max_deg
0,block_00,325,0.0005426115210790929,0.05692214032270157,0.09142431473942186,24,165.20866302780416,174.8077805813027
1,block_01,325,0.0003462061712727288,0.03976297904217348,0.08338720823758126,24,165.4370983727051,174.90722377453335
2,block_02,325,0.00033877072949901784,0.04086920988531949,0.08047294725541033,24,165.81374224553176,175.17261355348583
3,block_03,325,0.00036593349671156314,0.04301625524826958,0.0826301432259158,24,166.01696728689686,175.25252901183296
4,block_04,325,0.0003857386808409507,0.046093637302760074,0.08117275529925408,24,166.02923307507174,175.2693941772085
5,block_05,325,0.0004001682215823458,0.049108157494695014,0.07894750304508445,24,166.2477078473828,175.35434109688114
6,block_06,325,0.0004387827864687444,0.0523730441416923,0.08118721549852566,24,166.26103929364177,175.33397767844335
7,block_07,325,0.00046295474340246894,0.053807109979275285,0.0838867532663215,24,166.27521793119652,175.30910676039449
8,block_08,325,0.00046784239256583205,0.05378681106918659,0.084774997097281,24,166.36958570645402,175.27876202506326
9,block_09,325,0.0004563707292090051,0.055024606393070295,0.08140353272679077,24,166.27314797658082,175.23638134003463
10,block_10,325,0.00044815349487398187,0.05545159693829532,0.07894927008388762,24,166.57904209143788,175.28922950696312
11,block_11,325,0.0004862013518702281,0.05419062283482758,0.08646905042154053,24,166.70080936619408,175.3011791426395
