layer,layer_name,pairs_all,slope_all,pearson_r_all,pairs_pure,slope_pure,pearson_r_pure,pairs_harm,slope_harm,pearson_r_harm,pairs_cross,slope_cross,pearson_r_cross,curv_p_n,curv_p_mean_deg,curv_h_n,curv_h_mean_deg
0,block_00,3003,-0.00013174763937114168,-0.023538580307107815,741,-0.00012500853177966728,-0.11800928436565196,741,0.00023198610824330275,0.05892261374371901,1521,-0.00023154853425120685,-0.04046595841107999,37,119.72037062540022,37,118.70899859271981
1,block_01,3003,-8.308026149321671e-05,-0.02082704300419807,741,-7.828920217008967e-05,-0.11337402896033875,741,0.00019188481899126193,0.06847649984635117,1521,-0.00015884163156661542,-0.03957300048827358,37,119.73886369427765,37,118.8366424479777
2,block_02,3003,-0.00010647718090105858,-0.0250461637428789,741,-8.402915429909468e-05,-0.11552393937780518,741,0.00014389308932042494,0.04665584141675088,1521,-0.0001777436106464232,-0.0411615640510454,37,119.85529589464453,37,118.75242157552398
3,block_03,3003,-0.00010378231627169727,-0.02296355810402756,741,-8.66354036014102e-05,-0.11190978435694524,741,0.00015902467903233824,0.04783965520078219,1521,-0.00017445722956594098,-0.03824786184306394,37,119.33130605112706,37,118.55073650737376
4,block_04,3003,-0.00010951369058129428,-0.02243172423154861,741,-9.320054965653797e-05,-0.10912138577588582,741,0.00016339659471258466,0.0447338615185486,1521,-0.00018020964370560712,-0.03662863666464005,37,119.13970596436569,37,118.34904806739446
5,block_05,3003,-0.00010956704551534022,-0.021338697556095798,741,-0.00010044047231640342,-0.10862123519621861,741,0.000168083811273229,0.042031066074077555,1521,-0.00017673688606264015,-0.034448719114352884,37,119.50690890853993,37,118.28114155402582
6,block_06,3003,-0.0001194419956558053,-0.021597814635242175,741,-0.00010822911601441007,-0.10855721937676859,741,0.0001661105145416369,0.037289392943542714,1521,-0.00018775015288378908,-0.03408960178447673,37,119.53972823366439,37,118.07004611343372
7,block_07,3003,-0.0001122989821006103,-0.019998305178859678,741,-0.00011298884350895128,-0.10996053837725438,741,0.00017997182617484792,0.03927999266265188,1521,-0.00017682858124366035,-0.03196790636419963,37,119.55930890370267,37,118.06360972717206
8,block_08,3003,-0.00010892065787395482,-0.0192489403459995,741,-0.00011143479889368152,-0.10594038602108102,741,0.00016713655708473101,0.035373873250979224,1521,-0.0001651449669832057,-0.029835806121397534,37,119.5295051267156,37,118.0579568918448
9,block_09,3003,-9.078193168486371e-05,-0.01627260478187937,741,-0.00011042098847662694,-0.10426616931896286,741,0.00020126065526589513,0.04287049201172244,1521,-0.0001470681072709274,-0.02719920119310112,37,119.50015425783506,37,117.99176316294111
10,block_10,3003,-7.946020689023791e-05,-0.014047487218583241,741,-0.00010491520673613123,-0.10275205855065919,741,0.0002127153471040369,0.044780544554641276,1521,-0.00013089979533274226,-0.024108414675650804,37,119.48594551467355,37,118.26592632582806
11,block_11,3003,-7.253606262435261e-05,-0.013473891844607457,741,-9.323805569810787e-05,-0.10055908113889803,741,0.00022837220925534058,0.052321363451375356,1521,-0.00013176304258042353,-0.02553508077564939,37,118.96613589880903,37,118.55153285222757
